Date,Open,High,Low,Close,Adj Close,Volume
2009-12-01,61408.000000,63200.000000,60960.000000,62080.000000,60862.109375,21328
2009-12-02,62592.000000,63136.000000,61376.000000,62240.000000,61018.972656,19503
2009-12-03,60928.000000,66048.000000,59264.000000,65600.000000,64313.050781,27283
2009-12-04,62016.000000,65376.000000,61376.000000,62368.000000,61144.453125,32962
2009-12-07,62848.000000,65440.000000,61920.000000,64768.000000,63497.378906,17277
2009-12-08,65760.000000,66816.000000,65120.000000,66336.000000,65034.609375,20318
2009-12-09,66112.000000,67456.000000,64800.000000,65760.000000,64469.914063,19046
2009-12-10,65216.000000,66656.000000,64448.000000,65920.000000,64626.781250,13412
2009-12-11,65696.000000,66176.000000,64512.000000,64544.000000,63277.773438,11214
2009-12-14,63968.000000,65600.000000,63040.000000,63040.000000,61803.269531,12050
2009-12-15,64064.000000,66336.000000,63680.000000,65792.000000,64501.289063,11881
2009-12-16,64768.000000,65280.000000,63584.000000,64608.000000,63340.511719,13075
2009-12-17,66112.000000,67552.000000,65600.000000,67552.000000,66226.750000,13287
2009-12-18,66368.000000,67488.000000,64768.000000,64800.000000,63528.750000,12466
2009-12-21,63968.000000,64064.000000,62432.000000,62528.000000,61301.324219,10133
2009-12-22,62528.000000,62784.000000,61696.000000,61792.000000,60579.757813,7922
2009-12-23,61632.000000,62656.000000,61280.000000,62112.000000,60893.476563,7020
2009-12-24,61600.000000,61728.000000,60640.000000,60736.000000,59544.472656,2960
2009-12-28,60320.000000,61696.000000,59872.000000,60896.000000,59701.343750,4639
2009-12-29,60544.000000,61568.000000,60448.000000,61568.000000,60360.156250,4965
2009-12-30,62368.000000,62592.000000,61408.000000,61408.000000,60203.289063,5928
2009-12-31,61184.000000,62240.000000,60736.000000,62176.000000,60956.226563,5273
2010-01-04,60864.000000,60928.000000,58624.000000,59008.000000,57850.375000,10482
2010-01-05,59328.000000,59456.000000,56576.000000,56704.000000,55591.582031,13669
2010-01-06,56960.000000,57696.000000,55808.000000,56352.000000,55246.480469,10084
2010-01-07,56224.000000,56512.000000,52448.000000,53184.000000,52140.632813,17043
2010-01-08,54112.000000,55072.000000,53248.000000,53792.000000,52736.710938,12993
2010-01-11,52704.000000,54688.000000,52512.000000,53792.000000,52736.710938,10287
2010-01-12,55104.000000,56864.000000,54368.000000,55936.000000,54838.644531,15284
2010-01-13,55840.000000,56928.000000,53504.000000,54048.000000,52987.683594,14316
2010-01-14,54496.000000,54912.000000,52864.000000,53216.000000,52172.003906,12217
2010-01-15,54272.000000,56288.000000,53984.000000,55968.000000,54870.015625,14384
2010-01-19,56800.000000,57248.000000,53952.000000,54080.000000,53019.054688,13068
2010-01-20,54976.000000,56032.000000,53728.000000,54208.000000,53144.542969,16357
2010-01-21,54400.000000,59040.000000,53472.000000,58336.000000,57191.562500,34480
2010-01-22,58976.000000,64416.000000,58144.000000,63616.000000,62367.980469,33343
2010-01-25,61248.000000,64640.000000,60672.000000,62784.000000,61552.300781,22820
2010-01-26,63808.000000,65856.000000,61056.000000,65472.000000,64187.570313,22361
2010-01-27,64704.000000,66016.000000,60960.000000,61376.000000,60171.921875,24438
2010-01-28,59936.000000,64480.000000,59712.000000,62432.000000,61207.207031,30256
2010-01-29,61472.000000,64288.000000,59936.000000,63744.000000,62493.460938,29645
2010-02-01,62624.000000,62720.000000,60512.000000,60960.000000,59764.082031,19446
